CODE,"LONG DESCRIPTION (EXCLUDED FY2025 ICD-10 ALL TYPES E, L, D)"
D8130,"Adenosine deaminase deficiency, unspecified"
D8131,Severe combined immunodef due to adenosine deaminase defic
D8132,Adenosine deaminase 2 deficiency
D8139,Other adenosine deaminase deficiency
E34328,Other genetic causes of short stature
E34329,Unspecified genetic causes of short stature
E3439,Other short stature due to endocrine disorder
G71031,Autosomal dominant limb girdle muscular dystrophy
G71032,Autosomal recessive limb girdle muscular dystrophy due to calpain-3 dysfunction
G71033,Limb girdle muscular dystrophy due to dysferlin dysfunction
G710340,"Limb girdle muscular dystrophy due to sarcoglycan dysfunction, unspecified"
G710341,Limb girdle muscular dystrophy due to alpha sarcoglycan dysfunction
G710342,Limb girdle muscular dystrophy due to beta sarcoglycan dysfunction
G710349,Limb girdle muscular dystrophy due to other sarcoglycan dysfunction
G71035,Limb girdle muscular dystrophy due to anoctamin-5 dysfunction
G71038,Other limb girdle muscular dystrophy
G71039,"Limb girdle muscular dystrophy, unspecified"
H814,Vertigo of central origin
H8141,"Vertigo of central origin, right ear"
H8142,"Vertigo of central origin, left ear"
H8143,"Vertigo of central origin, bilateral"
H8149,"Vertigo of central origin, unspecified ear"
Q660,Congenital talipes equinovarus
Q6600,"Congenital talipes equinovarus, unspecified foot"
Q6601,"Congenital talipes equinovarus, right foot"
Q6602,"Congenital talipes equinovarus, left foot"
Q661,Congenital talipes calcaneovarus
Q6610,"Congenital talipes calcaneovarus, unspecified foot"
Q6611,"Congenital talipes calcaneovarus, right foot"
Q6612,"Congenital talipes calcaneovarus, left foot"
Q662,Congenital metatarsus (primus) varus
Q6621,Congenital metatarsus primus varus
Q66211,"Congenital metatarsus primus varus, right foot"
Q66212,"Congenital metatarsus primus varus, left foot"
Q66219,"Congenital metatarsus primus varus, unspecified foot"
Q6622,Congenital metatarsus adductus
Q66221,"Congenital metatarsus adductus, right foot"
Q66222,"Congenital metatarsus adductus, left foot"
Q66229,"Congenital metatarsus adductus, unspecified foot"
Q663,Other congenital varus deformities of feet
Q6630,"Other congenital varus deformities of feet, unspecified foot"
Q6631,"Other congenital varus deformities of feet, right foot"
Q6632,"Other congenital varus deformities of feet, left foot"
Q664,Congenital talipes calcaneovalgus
Q6640,"Congenital talipes calcaneovalgus, unspecified foot"
Q6641,"Congenital talipes calcaneovalgus, right foot"
Q6642,"Congenital talipes calcaneovalgus, left foot"
Q6650,"Congenital pes planus, unspecified foot"
Q6651,"Congenital pes planus, right foot"
Q6652,"Congenital pes planus, left foot"
Q666,Other congenital valgus deformities of feet
Q667,Congenital pes cavus
Q6670,"Congenital pes cavus, unspecified foot"
Q6671,"Congenital pes cavus, right foot"
Q6672,"Congenital pes cavus, left foot"
Q6680,"Congenital vertical talus deformity, unspecified foot"
Q6681,"Congenital vertical talus deformity, right foot"
Q6682,"Congenital vertical talus deformity, left foot"
Q6689,Other specified congenital deformities of feet
Q669,"Congenital deformity of feet, unspecified"
Q6690,"Congenital deformity of feet, unspecified, unspecified foot"
Q6691,"Congenital deformity of feet, unspecified, right foot"
Q6692,"Congenital deformity of feet, unspecified, left foot"
Q796,Ehlers-Danlos syndrome
Q7960,"Ehlers-Danlos syndrome, unspecified"
Q7961,Classical Ehlers-Danlos syndrome
Q7962,Hypermobile Ehlers-Danlos syndrome
Q7963,Vascular Ehlers-Danlos syndrome
Q7969,Other Ehlers-Danlos syndromes
Q871,Congenital malform syndromes predom assoc w short stature
Q8711,Prader-Willi syndrome
Q8719,Other congen malform synd predom assoc with short stature
R419,Unsp symptoms and signs w cognitive functions and awareness
R448,Oth symptoms and signs w general sensations and perceptions
R449,Unsp symptoms and signs w general sensations and perceptions
R4584,Anhedonia
R460,Very low level of personal hygiene
R461,Bizarre personal appearance
R462,Strange and inexplicable behavior
R463,Overactivity
R464,Slowness and poor responsiveness
R465,Suspiciousness and marked evasiveness
R466,Undue concern and preoccupation with stressful events
R467,Verbosity and circumstantial detail obscuring rsn for cntct
R4681,Obsessive-compulsive behavior
R4689,Other symptoms and signs involving appearance and behavior
R6819,Other nonspecific symptoms peculiar to infancy
R6889,Other general symptoms and signs
R69,"Illness, unspecified "
R828,Abnormal findings on cytolog and histolog exam of urine
R8281,Pyuria
R8289,Other abn findings on cytolog and histolog exam of urine
R99,Ill-defined and unknown cause of mortality 
T07,Unspecified multiple injuries
T07XXXA,"Unspecified multiple injuries, initial encounter"
T07XXXD,"Unspecified multiple injuries, subsequent encounter"
T07XXXS,"Unspecified multiple injuries, sequela"
T148,Other injury of unspecified body region
